;B;D;G;R;L;N;M;V;TH;Z;JH;CH;SH;S;DH;F;P;T;K;H
B;1001;12;24;17;50;2;32;266;16;4;4;2;0;5;15;69;58;7;16;128
D;32;1059;110;28;73;26;28;74;36;27;32;6;4;13;18;15;18;32;30;67
G;36;76;1097;26;62;10;26;78;20;16;22;2;3;5;11;17;41;6;33;141
R;39;35;85;924;206;27;62;114;17;29;20;16;2;12;4;15;27;12;20;62
L;28;9;11;50;1334;19;48;150;28;2;1;1;3;2;0;6;10;1;1;24
N;17;28;33;45;303;917;170;77;18;11;12;3;0;4;7;5;8;4;10;56
M;39;5;18;43;203;106;1073;127;9;6;3;1;1;2;4;7;13;1;10;57
V;57;10;12;37;61;6;15;1360;102;11;0;1;0;0;11;17;8;2;3;15
TH;17;36;6;1;193;2;1;499;861;41;1;1;0;2;54;8;0;2;0;3
Z;14;51;26;12;38;10;20;54;30;1155;66;21;7;53;27;27;16;32;25;44
JH;12;85;78;24;53;9;23;23;9;45;1056;138;15;7;9;12;12;24;49;45
CH;3;7;13;2;7;2;1;4;2;15;253;1222;67;6;3;5;15;42;43;16
SH;5;15;9;3;12;2;4;3;1;23;278;451;813;23;5;4;10;12;17;38
S;11;24;15;10;24;6;14;39;10;424;47;52;21;734;42;64;25;58;39;69
DH;1;3;0;0;0;0;0;15;9;3;0;0;0;7;1224;455;3;6;0;2
F;25;2;0;0;4;2;2;120;8;2;1;3;0;5;196;1333;9;1;8;7
P;9;3;7;5;6;1;7;7;0;0;1;0;0;0;1;15;1264;16;58;328
T;22;47;27;10;42;8;24;34;10;39;36;41;7;21;23;25;92;880;165;175
K;12;9;30;3;7;4;7;12;2;9;6;1;1;4;8;26;116;41;1253;177
H;11;0;4;0;7;0;4;13;2;0;2;2;0;1;3;20;176;7;51;1425
